Column1,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
0,1,55,Male,Blouse,Clothing,53,Kentucky,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly
1,2,19,Male,Sweater,Clothing,64,Maine,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly
2,3,50,Male,Jeans,Clothing,73,Massachusetts,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly
3,4,21,Male,Sandals,Footwear,90,Rhode Island,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
4,5,45,Male,Blouse,Clothing,49,Oregon,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually
5,6,46,Male,Sneakers,Footwear,20,Wyoming,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly
6,7,63,Male,Shirt,Clothing,85,Montana,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
7,8,27,Male,Shorts,Clothing,34,Louisiana,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
8,9,26,Male,Coat,Outerwear,97,West Virginia,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually
9,10,57,Male,Handbag,Accessories,31,Missouri,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
10,11,53,Male,Shoes,Footwear,34,Arkansas,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
11,12,30,Male,Shorts,Clothing,68,Hawaii,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
12,13,61,Male,Coat,Outerwear,72,Delaware,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
13,14,65,Male,Dress,Clothing,51,New Hampshire,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly
14,15,64,Male,Coat,Outerwear,53,New York,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly
15,16,64,Male,Skirt,Clothing,81,Rhode Island,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
16,17,25,Male,Sunglasses,Accessories,36,Alabama,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
17,18,53,Male,Dress,Clothing,38,Mississippi,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
18,19,52,Male,Sweater,Clothing,48,Montana,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
19,20,66,Male,Pants,Clothing,90,Rhode Island,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
20,21,21,Male,Pants,Clothing,51,Louisiana,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
21,22,31,Male,Pants,Clothing,62,North Carolina,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
22,23,56,Male,Pants,Clothing,37,California,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
23,24,31,Male,Pants,Clothing,88,Oklahoma,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
24,25,18,Male,Jacket,Outerwear,22,Florida,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
25,26,18,Male,Hoodie,Clothing,25,Texas,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
26,27,38,Male,Jewelry,Accessories,20,Nevada,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
27,28,56,Male,Shorts,Clothing,56,Kentucky,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
28,29,54,Male,Handbag,Accessories,94,North Carolina,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
29,30,31,Male,Dress,Clothing,48,Wyoming,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
30,31,57,Male,Jewelry,Accessories,31,North Carolina,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
31,32,33,Male,Dress,Clothing,79,West Virginia,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
32,33,36,Male,Jacket,Outerwear,67,Kansas,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
33,34,54,Male,Pants,Clothing,38,Colorado,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
34,35,36,Male,T-shirt,Clothing,91,North Dakota,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
35,36,54,Male,Blouse,Clothing,33,Massachusetts,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
36,37,35,Male,T-shirt,Clothing,69,Illinois,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
37,38,35,Male,Jeans,Clothing,45,Indiana,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
38,39,29,Male,Dress,Clothing,37,Florida,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
39,40,70,Male,Pants,Clothing,60,Arizona,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
40,41,69,Male,Handbag,Accessories,76,Louisiana,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
41,42,67,Male,Scarf,Accessories,39,Alaska,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
42,43,20,Male,Coat,Outerwear,100,Tennessee,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
43,44,25,Male,Scarf,Accessories,69,Ohio,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
44,45,39,Male,Hat,Accessories,53,Kentucky,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
45,46,50,Male,Socks,Clothing,21,Tennessee,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
46,47,57,Male,Shirt,Clothing,43,California,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
47,48,55,Male,Jewelry,Accessories,54,Montana,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
48,49,42,Male,Shirt,Clothing,55,Nevada,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
49,50,68,Male,Hoodie,Clothing,30,New Jersey,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
50,51,49,Male,Blouse,Clothing,28,Maryland,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
51,52,59,Male,Skirt,Clothing,59,Vermont,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
52,53,42,Male,T-shirt,Clothing,20,Alaska,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
53,54,29,Male,Skirt,Clothing,24,Mississippi,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
54,55,47,Male,Coat,Outerwear,94,New Mexico,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
55,56,40,Male,Jacket,Outerwear,28,South Carolina,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
56,57,41,Male,Backpack,Accessories,73,Mississippi,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
57,58,21,Male,Coat,Outerwear,64,West Virginia,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
58,59,69,Male,Hoodie,Clothing,54,Missouri,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
59,60,63,Male,Belt,Accessories,79,Louisiana,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
60,61,50,Male,Sweater,Clothing,37,Idaho,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
